Nº,Nombre legal,Nombre comercial,Nombre abreviado,Código fiscal,Tipo,Idioma,Estado,Razón de cambio,Fecha de fundación,Registro (número),Registro (ciudad),Objeto social,Observaciones,Categoría,Grupo Empresarial,Empresa padre,Productos,Servicios,Marcas,Certificaciones,Blog,Linkedin,Facebook,Twitter,Skype,Web,Número de impuestos,Saludo,País,Región,Provincia,Código postal,Localidad,Localidad (extensión),Dirección,Ap. Postal (número),Ap. Postal (código postal),Ap. Postal (ciudad),E-Mail 1,E-Mail 2,Teléfono 1,Teléfono 2,Móvil 1,Móvil 2,Fax 1,Fax 2,Código industrial,Código industrial,Rangos de empleados,Empleados 2018,Empleados 2017,Empleados 2016,Empleados 2015,Empleados 2014,Rango de facturación,Facturación 2018,Facturación 2017,Facturación 2016,Facturación 2015,Facturación 2014,Subsidiarias,Socio,Socio (Nr.),Membresía (Tipo),Membresía (Cargo),Cuota (Precio),Moneda de pago,Observaciones,Fecha de inicio,Fecha de fin,Razón de finalización,Factura (número),Factura (fecha),Factura (producto),Factura (valor),Pago (fecha),Pago (estado),Ejecutivo de Cuenta:,Origen del capital,Tamaño de empresa,+,-,+,-,+,-,+,-,+,-,Notas:,Observaciones,Administrador,Contacto principal,Contacto clave,Dirección General,Operaciones,Investigación,Administración,Marketing,RRHH,Finanzas,Ventas,Jurídica,Logística,Producción,Comunicación,Soporte al Cliente,IT
33,Rolando Albertino Osorio Rosil,AGROSERVICIO SANTA CATARINA,AGROSERVICIO SANTA CATARINA,904,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,agricultural products.,Agricultural Products/Agrochemicals/Machinery,,,,,,,,2797404-9,,GT,,,,Jutiapa,Sta. Catarina Mita,"4a. Avenida  2-49, Zona 2 Sta. Catarina Mita, Jutiapa, Guatemala",,,,osorio76@yahoo.com,,59662868,78883200,,,,,,,de 1 a 25,3,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Individual,C05,0 GTQ | 0 USD | ,GTQ,,19/10/2007,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,"País:Guatemala |
Ciudad: ",,"País:El Salvador |
Ciudad: ",,"País:Honduras |
Ciudad: ",,"País:Nicaragua |
Ciudad: ",,"País:Costa Rica|
Ciudad: ",,,,,,,,,,,,,,,,,,,,
34,"Inversiones La Capital, S.A",AHORRENT RENT A CAR,AHORRENT RENT A CAR,1136,Empresa,ES,1,,01/06/1990,,,,,Servicios,,,,car rental services.,Car Rental Services,,,,https://www.facebook.com/ahorrentrentacar/,,,https://www.ahorrent.com,372553-7,,GT,,,,Guatemala,Guatemala,"Boulevard Liberación 4-83 Zona 9, Ciudad, Guatemala",,,,lcoloma@ahorrent.com,,23832800,,,,,,,,de 1 a 25,18,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,14/10/2011,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Asesoría Innovación y Soluciones, S.A",AIS BAKERY EXPERTS,AIS BAKERY EXPERTS,376,Empresa,ES,1,,25/08/1800,,,,,Comercio,,,distribuidores de materia prima para pastelería y panadería,,Food Products Manufactureres and Distributors,,,AIS Bakery Experts,https://www.facebook.com/pg/AISBakeryExpert/about/?ref=page_internal,,,https://www.aisbakery.com,5647646-9,,GT,,,,Guatemala,Mixco,"19 Avenida 2-78 Zona 11, Colonia El Mirador I, Edificio Distrito Miraflores, Ciudad, Guatemala.",,,,informacion@aisbakery.com,,42108069,,,,,,,,de 101 a 250,125,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,10/05/2005,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Recar, S.A",AKI AUTOREPUESTOS,AKI AUTOREPUESTOS,1246,Empresa,ES,1,,25/01/2012,,,,,Comercio,,,venta de repuestos para vehículos nuevos y United Statesdos,,Automobile Parts Import/Export/Retail,,,,https://www.facebook.com/AKIautorepuestos/,,,https://www.akiautorepuestos.com,7635632-9,,GT,,,,Guatemala,Guatemala,"Calzada Roosevelt 40-80 Zona 3, Colonia Cotio, Mixco, Guatemala",,,,gerencia@akiautorepuestos.com,,22093535,,,,,,,,de 26 a 100,35,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,18/01/2013,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,"País:Mexico |
Ciudad: ","País:United States |
Ciudad: ",,"País:China |
Ciudad: ","País:Costa Rica|
Ciudad: ",,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,
37,Juan Antonio Mazariegos Gomez,ALEGALIS,ALEGALIS (LEGIC GUATEMALA),1165,Empresa,ES,1,,01/01/1947,,,,,Servicios,,,,attorney and legal consultants / law firm,Attorney and legal consultants/Law Firm,,,Alegalis-law-firm,https://www.facebook.com/alegalis.legic/?ref=br_rs,,,https://www.alegalis.com,509176-4,,GT,,,,Guatemala,Guatemala,"2a. Calle 24-00 Zona 15 Vista Hermosa II, Edificio Domani, Oficina 701, Ciudad, Guatemala",,,,info@alegalis.com,,25033777,,,,,,,,de 26 a 100,30,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,26/06/2015,01/01/1800,,,,,,,,"Ramirez, Mariana",Nacional,Mediana,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Alimentos Congelados, S.A.","ALIMENTOS CONGELADOS, S.A.","ALIMENTOS CONGELADOS, S.A.",20,Empresa,ES,1,,11/08/1972,,,,,Agro-industria,,,legumbres congeladas,,Frozen/Fresh Vegetables,,,,,,,,6933891-4,,US,,,,Guatemala,San Jose Pinula,"Km. 18.5 Carretera a San José Pinula, Fraijanes, Guatemala",,,,,,66417600,,,,,,,,de 251 a 500,475,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,16/03/1994,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Alkemy, S.A.",ALKEMY,ALKEMY,23,Empresa,ES,1,,14/08/1989,,,,,Industria,,,manufactura y comercialización de especialidades químico-industriales,,Chemical Products,,,,https://www.facebook.com/alkemy.sa?lst=718287762%3A100000242806965%3A1527803640,,,https://www.alkemycorp.com,542211-6,,GT,,,,Guatemala,Mixco,"7a. Calle 27-51 Zona 4 de Mixco, El Naranjo, Guatemala",,,,serviciogt@alkemycorp.com,,24294900,,,,,,,,de 101 a 250,147,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,04/06/1999,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Alliance One Tabaco Guatemala, S.A","ALLIANCE ONE TABACO GUATEMALA, S.A.","ALLIANCE ONE TABACO GUATEMALA, S.A.",1339,Empresa,ES,1,,25/08/1972,,,,,Comercio,,,"venta al por menor de alimentos, bebidas y tabaco en almacenes especializados",,Agricultural Products/Agrochemicals/Machinery,,,,,,,https://www.aointl.com,6900-0,,US,,,,Guatemala,Guatemala,"1a Avenida 15-46 zona 10, Cuidad, Guatemala.",,,,info@aointl.com,,22441122,,,,,,,,de 26 a 100,30,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,04/06/2014,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Administración de Call Centers, S.A.",ALLIED GLOBAL,ALLIED GLOBAL BPO,1120,Empresa,ES,1,,01/06/2005,,,,,Servicios,,,,,Contact Center and BPO (Business Process Outsourcing),,,Allied Global Contact Center & BPO,https://www.facebook.com/AlliedGlobalGuatemala/,@alliedglobalgt,,https://www.alliedglobalbpo.com,4401011-7,,GT,,,,Guatemala,Guatemala,"16 Calle 0-55 Zona 10, Edificio Torre Internacional, Nivel 13, Ciudad, Guatemala",,,,AndresIzas@sinemail.com,,24199999,,,,,,,,más de 1000,6500,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,30/05/2011,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Industrias del Atlántico, S.A",AMBEV CENTROAMÉRICA,AMBEV CENTROAMÉRICA,1528,Empresa,ES,1,,01/09/2003,,,,,Industria,,,beers,,Soft Beverages Manufacturers,,,,https://www.facebook.com/ambevca/,,,https://www.ambev-ca.com,170466-4,,GT,,,,Guatemala,Guatemala,"18 Calle 24-69 zona 10 Empresarial Zona Pradera, Torre 4 oficina 301",,,,info@ambev-ca.com,,25018050,,,,,,,,de 101 a 250,250,,,,,,,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,14/09/2017,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,American Airlines Inc,AMERICAN AIRLINES,AMERICAN AIRLINES,26,Empresa,ES,1,,15/02/1990,,,,,Servicios,,AMERICAN AIRLINES,,,Airlines/Air Cargo,,,American Air,https://www.facebook.com/AmericanAirlines/,@AmericanAir,,https://www.aa.com,552731-7,,US,,,,Guatemala,Guatemala,"Avenida Las Américas, 18-81 Zona 14, Edificio Columbus Center, 9º Nivel, Ciudad, Guatemala",,,,gloria.gandarela@aa.com,,24225702,,,,,,,,de 26 a 100,110,,,,,"Más de USD$5,000,001",0,,,,,American Airlines Inc; ,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,22/10/2001,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Amway de Guatemala, S.A",AMWAY DE GUATEMALA,AMWAY,31,Empresa,ES,1,,09/09/1987,,,,,Comercio,,,,red de multinivel,Cleaning Products/Beauty Products/Healt Care Products,,,,https://www.facebook.com/AmwayGT/?ref=br_rs,,,https://www.amway.com.gt,495043-7,,US,,,,Guatemala,Guatemala,"14 Calle 3-51 zona 10, Edificio Murano Center Of. 901, Ciudad, Guatemala.",,,,servicio.alclientegt@amway.com,,24183131,,,,,,,,de 1 a 25,19,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,08/09/1987,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ana Vanessa Castro Mirón,EPROINT,EPROINT,1542,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,"servicios de asesoría legal, abogacía y notariado",Attorney and legal consultants/Law Firm,,,,,,,https://www.iplawgt.com,3527336-4,,GT,,,,Guatemala,Guatemala,"22 Avenida B, 0-11 zona 15 Vista Hermosa II",,,,vcastro@iplawgt.com,,30326243,,,,,,,,de 1 a 25,0,,,,,"Menos de USD$100,000.00",,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,30/01/2018,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Anixter Guatemala y Compañia Limitada,ANIXTER GUATEMALA,ANIXTER GUATEMALA,1401,Empresa,ES,1,,16/04/2013,,,,,Servicios,,,,"infrastructure, security, unified communications.",Telecommunication Services,,,Anixter,https://www.facebook.com/Anixter?fref=ts,@Anixter,,https://www.anixter.com,8185405-6,,GT,,,,Guatemala,Guatemala,Boulevard los proceres 24-69 zona 10 Torre I nivel 9 oficina 910 zona pradera Guatemala.,,,,alejandro.galan@anixter.com,,24902082,,,,,,,,más de 1000,8900,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,16/06/2015,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"APL Logistics de Guatemala, S.A","APL LOGISTICS DE GUATEMALA, S.A.","APL LOGISTICS DE GUATEMALA, S.A.",550,Empresa,ES,1,,01/04/2000,,,,,Servicios,,,,apl logistics a member of kwe group,Freight Fordwarders,,,https:// gt.linkdln.com/company/apl-logistics,https://www.facebook.com/APLLogistics/,@apllogistics,,https://www.apllogistics.com,2673004-9,,GT,,,,Guatemala,Guatemala,"Diagonal 6 10-50 Zona 10, Edificio Interamericanas World Financial Center, Torre Norte Nivel 16, Ofi",,,,rosa_orozco@apllogistics.com,,24287200,,,,,,,,de 1 a 25,17,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,03/10/2002,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Terminal de Contenedores Quetzal, S.A",APM TERMINALS QUETZAL,APM TERMINALS QUETZAL,1417,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,,Loading/Unloading of Vessels,,,,https://www.facebook.com/APMTerminalsQtz/,,,https://www.tcq.com.gt,7848542-8,,ES,,,,Guatemala,Guatemala,"Recinto Portuario Quetzal, Zona 1 Km. 102.37, Autopista Puerto San José, Escuintla, Guatemala.",,,,,,79292900,,,,,,,,de 26 a 100,57,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,,,GTQ,,01/10/2015,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Asociación de Programadores, Distribuidores, Agentes de Canales de Televisión por Cable para Centro América",APRODICA,APRODICA,1410,Empresa,ES,1,,01/05/2014,,,,,Servicios,,,,fight against piracy of tv cable in guatemala,Agents of Cable TV Channels,,,,https://www.facebook.com/aprodica.gt,@APRODICA,,https://www.aprodica.org/,8665853-0,,GT,,,,Guatemala,Guatemala,"Avenida las Américas 18-81 Zona 14, Edificio Columbus Center 3er Nivel Of. 3 Sur ",,,,info@aprodica.org,,23667010,23630619,,,,,,,de 1 a 25,5,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,19/08/2015,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Arca de Noé, S.A",ARCA DE NOÉ,ARCA DE NOÉ,4407,Empresa,ES,1,,02/10/1998,,,,,Comercio,,,productos para mascotas,,Pet Products,,,,https://www.facebook.com/ArcadeNoeGT/,@ArcadeNoeGT,,https://www.arcadenoe.com.gt,122174-4,,GT,,,,Guatemala,Guatemala,"Avenida La Reforma 6-39 Zona 10, Centro Corporativo  Guayacan 4° Nivel, Ciudad, Guatemala.",,,,clientes.arca@arcadenoe.com.gt,,24221300,,,,,,,,de 1 a 25,100,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Corporativa,C08,0 GTQ | 0 USD | ,GTQ,,25/09/2013,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,"País:Mexico |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Arevalo  Pérez, Iralda y Asociados, Sociedad Civil.","ARÉVALO PÉREZ, IRALDA Y ASOCIADO, S.C.","ARÉVALO PÉREZ, IRALDA Y ASOCIADO, S.C.",951,Empresa,ES,1,,01/12/1998,,,,,Servicios,,,,auditing and financial consulting and bussines advisor/consultant,Auditing & Consulting Firm,,,,https://www.facebook.com/PKFPeople,,,https://www.pkfguatemala.com,1809115-6,,GT,,,,Guatemala,Guatemala,"3a. Avenida 10-80 zona 10 Edificio Forum Zona Viva, Torre II, Nivel 10 Of. 1001",,,,arevalo@pkfguatemala.com,,32275152,40685992 58054742,,,,,,,de 26 a 100,40,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,18/08/2008,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"ARIAS GUATEMALA, SERVICIOS JURÍDICOS, S.A.",ARIAS,,148,Empresa,ES,1,,16/10/1998,,,,,Servicios,,,,,,,,Arias Law,www.facebook.com/BufeteAriasLaw/,Arias,,www.ariaslaw.com,1277564-9,,SV,,,,Guatemala,Guatemala,"Diagonal 6, 10-01 Zona 10, Centro Gerencial Las Margaritas, Torre II, Oficina 402-B",,,,info@ariaslaw.com,,2382-7700,,,,,,,,,63,,,,,,,,,,,,1,,Empresarial,,,GTQ,,22/04/1999,,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"ARM Aviacion, S.A","ARM AVIACION, S.A.","ARM AVIACION, S.A.",632,Empresa,ES,1,,16/12/1998,,,,,Servicios,,,,air services,Airlines/Air Cargo,,,,https://www.facebook.com/armaviacion/,ARMaviacion,,https://www.armaviacion.com,1689835-4,,GT,,,,Guatemala,Guatemala,"Avenida Hincapié 18-05 zona 13, Interior Aeropuerto La Aurora, Hangar K2, Ciudad, Guatemala",,,,armsa@armaviacion.com,,24182727,,,,,,,,de 26 a 100,70,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,08/03/2004,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Comercial Administradora, S.A.",ARREND,ARREND LEASING,1010,Empresa,ES,1,,23/05/1994,,,,,Servicios,,,,"automobile insurance, damage insurance, life insurance and medical expenses.",Leasing Services,,,,https://www.facebook.com/ArrendGuatemala/,,,https://www.arrendleasing.com,717707-0,,GT,,,,Guatemala,Guatemala,"7a. Avenida 7-07, zona 9 Ciudad, Guatemala",,,,info@arrendleasing.com,,22181818,23293131,,,,,,,,135,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,19/08/2009,01/01/1800,,,,,,,,"Ramirez, Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Arrendadora Lafise de Guatemala, S.A","ARRENDADORA LAFISE DE GUATEMALA, S.A.",LEASING LAFISE,1314,Empresa,ES,1,,24/11/1989,,,,,Servicios,,,leasing,,Leasing Services,,,Grupo Lafise,,,,https://www.lafise.com,752153-7,,GT,,,,Guatemala,Guatemala,"16 Calle 0-55 Zona 10, Edificio Torre Internacional Nivel 9 Oficina 901, Ciudad, Guatemala.",,,,bgarcia@lafise.com,,23216000,,,,,,,,de 26 a 100,27,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,17/02/2014,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Comerfasa, S.A",ARUSA,ARUSA,1501,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,,,Automobile Parts Import/Export/Retail,,,,https://www.facebook.com/Repuestos-ArUnited States-1002644176489269/,,,https://www.arUnited States.com,2942509-3,,GT,,,,Guatemala,Guatemala,"29 Calle 3-52 zona 12 Colonia El Carmen, Ciudad Guatemala",,,,arusa2002@gmail.com,,22476300,,,,,,,,de 1 a 25,10,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,28/02/2017,01/01/1800,,,,,,,,"Requena, Annemarie",sin definir,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Aseguradora General, S.A","ASEGURADORA GENERAL, S.A.","ASEGURADORA GENERAL, S.A.",1060,Empresa,ES,1,,20/11/1967,,,,,Servicios,,,,general insurance,Insurance Companies/Brokers,,,,https://www.facebook.com/AseguradoraGeneral.gt/,@aseggeneral,,https://www.aseguradorageneral.com/,74455-7,,IT,,,,Guatemala,Guatemala,"10a. Calle 3-17 Zona 10, Ciudad, Guatemala",,,,infoag@aseguradorageneral.com,,22107474,1757,,,,,,,de 251 a 500,273,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,21/05/2010,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Asensio Barrios Andrade & Asociados Limitada,SFERA BY ASENSIO ANDRADE FLORES,SFERA BY ASENSIO ANDRADE FLORES,793,Individual,ES,1,,01/01/1800,,,,,Servicios,,,,professional services.,Attorney and legal consultants/Law Firm,,,,,,,https://www.sferalegal.gt,2382990-7,,GT,,,,Guatemala,Guatemala,"7a Avenida 5-10 Zona 4, Centro Financiero Torre I, 10 Nivel, Oficina 3, Ciudad, Guatemala",,,,info@sferalegal.gt,,23171515,,,,,,,,de 1 a 25,24,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,05/05/2017,27/10/2015,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Asistencia Respiratoria, S.A","ASISTENCIA RESPIRATORIA, S.A.","ASISTENCIA RESPIRATORIA, S.A.",417,Empresa,ES,1,,18/03/1988,,,,,Comercio,,,"oxygen equipment , equipment for the treatment of sleep disorders, equipment and acssesories for respiratory therapy.",,Medical/Hospital Equipment and Services,,,,Asistencia Respiratoria-pneos,,,www.asistenciarespiratoria.com,526556-8,,GT,,,,Guatemala,Guatemala,"13 Calle 12-96 Zona 11, Oficomercios Bodex (4C) Guatemala, Guatemala 01011",,,,aresaventas@gmail.com,,24715015,24715315,,,,,,,de 1 a 25,20,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,25/11/2000,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Asociación Awakening (Guatemala),ASOCIACIÓN AWAKENING (GUATEMALA),ASOCIACIÓN AWAKENING (GUATEMALA),1352,Asociación,ES,1,,17/08/1998,,,,,Servicios,,,,microfinance,Microfinances,,,,https://www.facebook.com/Asociación-Awakening-Guatemala-949404451887063/,,,,5351156-5,,GT,,,,Guatemala,Guatemala,"30 Calle 11-27 Zona 12, Colonia Santa Rosa II, Ciudad, Guatemala",,,,bg@asociacionawakening.com,,23150100,,,,,,,,de 251 a 500,250,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,08/08/2014,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Asociación de Azucareros de Guatemala,ASOCIACIÓN DE AZUCAREROS DE GUATEMALA  ASAZGUA,ASAZGUA,39,Asociación,ES,1,,17/09/1957,,,,,Industria,,,,business advice and management according to sat.,Sugar Exporters/Distributors,,,,https://www.facebook.com/AzucarDeGT/,,,https://www.azucar.com.gt,232597-7,,GT,,,,Guatemala,Guatemala,"5a. Avenida 5-55 Zona 14, Edificio Europlaza, Torre III, Nivel 17, Ciudad, Guatemala.",,,,,,22158000,,,,,,,,de 101 a 250,150,,,,,,,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,28/06/2005,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Asociación Sistema de Desarrollo Comunitario,SIDECO,SIDECO,830,Asociación,ES,1,,05/06/2004,,,,,Servicios,,,,"financial services, farming production and construction services.",Saving an Loans,,,,https://www.facebook.com/gruposideco/,,,https://www.gruposideco.com.gt,3705707-3,,GT,,,,Totonicapán,San Cristobál,"Calle Agua Tibia, Barrio La Reforma, Zona 6, San Cristóbal Totonicapán, Totonicapán",,,,director.ejecutivo@gruposideco.com.gt,,77929337,56922754,,,,,,,de 1 a 25,19,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,09/07/2006,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Asesoría Técnica en Aduanas, S.A","ATA SERVICIOS INTEGRADOS, S.A.","ATA SERVICIOS INTEGRADOS, S.A.",1025,Empresa,ES,1,,19/10/1987,,,,,Servicios,,,,"consulting integrated foreign trade, customs agents , customs carrier, freight forwarder",Cargo Agency,,,,https://www.facebook.com/Siata87/,,,https://www.ata.com.gt,724326-K,,GT,,,,Guatemala,Guatemala,"3a. Avenida 20-95, Zona 10, Ciudad, Guatemala",,,,ata@ata.com.gt,,24278200,,,,,,,,de 26 a 100,95,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,28/10/2009,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Atento de Guatemala, S.A",ATENTO,ATENTO,1002,Empresa,ES,1,,01/08/1999,,,,,Servicios,,,,"business process outsourcing / contact center - technical support. credit and debit recovery, back office, service desk and application development. customer relationship manager (crm)",Call Center,,,Atento de Guatemala S.A.,https://www.Facebook.com/TalentoAtentoGT,@TalentoAtentoGT,,https://www.atento.com,1955373-0,,ES,,,,Guatemala,Guatemala,"Calzada Aguilar Batres 38-94, Zona 11, Ciudad, Guatemala.",,,,info@atento.com,,24700602,,,,,,,,más de 1000,1962,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,20/07/2009,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Erick Roberto Schumann de León,AUDIOVISUALES & LOGÍSTICA 1A,AVL PRODUCCIONES,1256,Empresa,ES,1,,14/03/2007,,,,,Servicios,,AVL PRODUCCIONES,,"logistics, stands, rent of audiovisual equipment, furniture and equipment.",Events Organization Services,,,Vivian Schuman,https://www.facebook.com/avlproduccionesgt/,@AVLGUATEMALA,,www.avl.com.gt,731819-7,,GT,,,,Guatemala,Guatemala,"Km 13.5 Carretera al Salvador, Ofibodegas del Milenio #4",,,,ventas@avl.com.gt,,66324538,66459618,,,,,,,de 1 a 25,15,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,06/10/2015,01/01/2001,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Autómata, S.A","AUTÓMATA, S.A.","AUTÓMATA, S.A.",771,Empresa,ES,1,,10/05/1994,,,,,Servicios,,,,industrial technical services,Engineering and Maitaining Services,,,,,,,https://www.krones-automata.com,724288-3,,DE,,,,Guatemala,Guatemala,"Calzada Atanasio Tzul 21-00 Zona 12, Empresarial El Cortijo II Ofibodega 504 Ciudad, Guatemala",,,,,,24154100,,,,,,,,de 101 a 250,110,,,,,,,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,31/01/2006,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
